iter	RMSE
0	0.05295428961
1	0.05289685453
2	0.05286356223
3	0.05283699724
4	0.0528350522
5	0.05283503807
6	0.05282304822
7	0.05282281259
8	0.05282231827
9	0.05282219368
10	0.05282132437
11	0.05281523503
12	0.05281430382
13	0.05281152899
14	0.05280336892
15	0.052789986
16	0.05278824054
17	0.05278781725
18	0.05278196436
19	0.0527562185
20	0.05272907451
21	0.05270381699
22	0.05269232648
23	0.0526910122
24	0.05265880295
25	0.05264925747
26	0.05262794574
27	0.05262794541
28	0.05261259614
29	0.05261236464
30	0.05259548336
31	0.05256691942
32	0.05254664168
33	0.05254664127
34	0.05253206577
35	0.05251811144
36	0.05251807366
37	0.05249774472
38	0.05249733219
39	0.05249722128
40	0.05247817711
41	0.0524678372
42	0.05246192646
43	0.05243932424
44	0.05243616373
45	0.05241427591
46	0.05241383409
47	0.05241099855
48	0.05236952285
49	0.05234930024
50	0.05233028824
51	0.05231987363
52	0.05231705179
53	0.05231265303
54	0.05229376045
55	0.05229375976
56	0.05226068999
57	0.05225635114
58	0.05221600238
59	0.05220453298
60	0.05220437776
61	0.05216518313
62	0.05216447397
63	0.05216424908
64	0.05216292898
65	0.05213820423
66	0.05211259483
67	0.05211251366
68	0.05209738849
69	0.05204321907
70	0.0520248909
71	0.05197640798
72	0.05197587101
73	0.05197579077
74	0.05195721087
75	0.05195578885
76	0.05195247267
77	0.05194151278
78	0.05192389353
79	0.05189647515
80	0.05186296161
81	0.05183202333
82	0.05182872796
83	0.05182869448
84	0.05182690285
85	0.05181181007
86	0.05181178815
87	0.0518104596
88	0.0518030699
89	0.05177616426
90	0.05177528801
91	0.05177271578
92	0.05176934176
93	0.05175620185
94	0.05175088156
95	0.05174892583
96	0.05173359022
97	0.05173312541
98	0.05173265975
99	0.0517047932
100	0.05170263851
101	0.05169036381
102	0.05169020694
103	0.05165922395
104	0.05165741646
105	0.05163596956
106	0.05160467262
107	0.05160434385
108	0.0515903844
109	0.051578184
110	0.05157776343
111	0.05153566515
112	0.05153533534
113	0.05153329969
114	0.05151172376
115	0.05148793151
116	0.05148786618
117	0.05147720216
118	0.05146776717
119	0.05146767102
120	0.05145633852
121	0.05144680132
122	0.05142534024
123	0.05140085418
124	0.05139710474
125	0.0513830012
126	0.05138215855
127	0.05137486437
128	0.05137471064
129	0.0513624697
130	0.05134981092
131	0.05133861594
132	0.05132696106
133	0.05131306726
134	0.05129182972
135	0.05127943999
136	0.05127843931
137	0.0512717819
138	0.05125183942
139	0.05124855294
140	0.05123251677
141	0.05122414921
142	0.05122313599
143	0.05122263106
144	0.05121549314
145	0.05120249308
146	0.05120169187
147	0.05120086494
148	0.05119204971
149	0.05118983749
150	0.05118743833
151	0.05118701083
152	0.05118669503
153	0.05117714192
154	0.05115616205
155	0.05115463857
156	0.05114423008
157	0.05112081792
158	0.05108327921
159	0.05105898352
160	0.0510236703
161	0.05098630593
162	0.05098554793
163	0.05095523843
164	0.05094684287
165	0.05093761486
166	0.05092636155
167	0.05092584154
168	0.05091795342
169	0.05091642007
170	0.05090680356
171	0.05083291723
172	0.0508086545
173	0.05080260935
174	0.05077719011
175	0.05077476987
176	0.05077454218
177	0.05075585353
178	0.05070073784
179	0.05069372388
180	0.05068872693
181	0.05065243039
182	0.050651557
183	0.05062007327
184	0.05061528609
185	0.05061353534
186	0.05057811499
187	0.05055655114
188	0.05055232396
189	0.05052751843
190	0.05050626754
191	0.05048017161
192	0.05047898228
193	0.05047877014
194	0.05047446603
195	0.05045432265
196	0.0504464712
197	0.05043920182
198	0.05042540415
199	0.05040196902
